iso3,year,conflict_score,disaster_score,economic_score,health_shock,PEI,conflict_score_flag,disaster_score_flag,economic_score_flag,health_shock_flag,n_crises_above_threshold,is_polycrise_year,income_group,region,country_name
VEN,2023,0.5670879272047176,0.1370963606619762,0.4710591450938691,0.499999999875,0.42551965094186245,0,0,1,1,2,0,UMIC,LAC,Venezuela
VEN,2024,0.5220729521924818,0.2953505490054254,0.3542934397851603,,0.345136530465015,0,0,1,0,1,0,UMIC,LAC,Venezuela
COL,2010,,0.7352315844812931,0.2118685123602849,,0.2367750242103945,0,1,0,0,1,0,UMIC,LAC,Colombia
COL,2011,,0.7764287764166939,0.1772861845849118,0.499999999875,0.31342874023165146,0,1,0,1,2,0,UMIC,LAC,Colombia
COL,2012,,0.6137591426097966,0.2285148421273806,0.0,0.2105684961842943,0,0,0,1,1,0,UMIC,LAC,Colombia
COL,2013,,0.4703511667192598,0.1776755646016798,0.0,0.1620066828302349,0,0,0,1,1,0,UMIC,LAC,Colombia
COL,2014,,0.4837616966087504,0.2026973591484252,0.0,0.1716147639392939,0,0,0,1,1,0,UMIC,LAC,Colombia
COL,2015,,0.3850308359571655,0.2585798165812124,0.0,0.16090266313459445,0,0,0,1,1,0,UMIC,LAC,Colombia
COL,2016,,0.1823560691537374,0.3020543964168334,0.0,0.12110261639264269,0,0,0,1,1,0,UMIC,LAC,Colombia
COL,2017,,0.4128894324931615,0.2853167620905978,0.0,0.17455154864593983,0,0,0,1,1,0,UMIC,LAC,Colombia
COL,2018,0.6121146226141831,0.3335220277672305,0.2490675292596144,0.499999999875,0.4348875071529253,0,0,0,1,1,0,UMIC,LAC,Colombia
COL,2019,0.6117102594851717,0.3757552833778508,0.2489544776947995,0.0,0.3702760310879727,0,0,0,1,1,0,UMIC,LAC,Colombia
COL,2020,0.6252590980485081,0.6313502623016456,0.4790478440275871,0.0,0.49644021089928597,0,0,1,1,2,0,UMIC,LAC,Colombia
COL,2021,0.6564035597020015,0.3245811718263349,0.1240872087027377,0.0,0.34190834102796863,0,0,0,1,1,0,UMIC,LAC,Colombia
COL,2022,0.6592663676972358,0.4952327390059899,0.2317924593187486,0.0,0.41249952827521713,0,0,0,1,1,0,UMIC,LAC,Colombia
COL,2023,0.6622143335326993,0.317245054608929,0.3602777695039622,0.2499999999375,0.43865572275529247,0,0,1,1,2,0,UMIC,LAC,Colombia
COL,2024,0.6451763464051795,0.6217907466522551,0.3082616624860878,,0.4583248235263985,0,0,0,0,0,0,UMIC,LAC,Colombia
HND,2010,,0.6098422696791508,0.2020774727331427,,0.20297993560307337,0,0,0,0,0,0,LMIC,LAC,Honduras
HND,2011,,0.3415381520554578,0.2238824824795803,0.0,0.14135515863375953,0,0,0,1,1,0,LMIC,LAC,Honduras
HND,2012,,0.3692902174595181,0.1975284911422393,0.0,0.14170467715043936,0,0,0,1,1,0,LMIC,LAC,Honduras
HND,2013,,0.3061093354954707,0.2250613361684392,0.0,0.1327926679159775,0,0,0,1,1,0,LMIC,LAC,Honduras
